rank,°¡¼ö,ÀÛ°î,ÀÛ»ç,Æí°î
21,2090,1637,1637,1207
22,2039,1014,1014,462
23,1734,1734,1734,2214
24,2228,2228,2228,759
25,1352,357,357,1965
26,2090,1637,1637,1443
27,422,422,422,111
28,1663,733,733,733
29,425,425,425,1684
30,2226,1295,350,1295
31,1352,695,695,1905
32,1352,1343,1343,1343
33,1756,733,733,733
34,1299,1593,1593,1593
35,1082,1084,1974,1084
36,2172,1190,1327,1190
37,1773,733,733,733
38,69,733,733,733
39,1352,302,302,828
40,1352,323,323,1965
41,2090,1637,1637,1637
42,2090,1637,1004,1637
43,425,1296,425,1296
44,1352,410,480,1680
45,1352,553,463,1500
46,838,838,838,838
47,2090,1637,1673,1390
48,1527,797,797,797
49,1352,465,465,1500
50,2115,1153,1153,1716
1,986,915,915,915
2,1881,1658,2013,733
3,1352,955,1846,1500
4,1544,1436,1436,1436
5,1773,1773,1773,733
6,2090,1637,1637,759
7,198,1436,1436,1436
8,1006,762,762,403
9,1647,1212,2071,1212
10,804,379,379,379
11,246,238,238,238
12,1660,1660,1660,1942
13,31,1591,1591,1591
14,273,511,422,511
15,1234,1234,1234,1891
16,1352,221,547,759
17,913,1658,2013,1658
18,1547,2069,2069,111
19,1352,1343,1343,1343
20,2090,1637,1637,2120
21,3,3,3,3
22,2090,1637,1637,1207
23,1078,251,1078,251
24,2039,1014,1014,462
25,1734,1734,1734,2214
26,1352,231,231,1500
27,2172,1190,1327,1190
28,1663,733,733,733
29,1234,1234,1234,1891
30,2226,1295,350,1295
31,425,425,425,1684
32,1813,1813,1813,1190
33,2039,1084,1974,1084
34,1756,733,733,733
35,1491,1436,1998,1436
36,1082,1084,1974,1084
37,1299,1593,1593,1593
38,2090,1637,1637,1443
39,69,733,733,733
40,1773,733,733,733
41,838,838,838,838
42,425,1296,425,1296
43,1352,357,357,1965
44,2228,2228,2228,759
45,422,422,422,111
46,1234,379,458,733
47,1352,540,291,817
48,2115,1153,1153,1716
49,2090,1637,1004,1637
1,1660,1660,1660,1942
2,1881,1658,2013,733
3,1544,1436,1436,1436
4,198,1436,1436,1436
5,1352,955,1846,1500
6,1647,1212,2071,1212
7,1491,1436,1998,1436
8,2090,1637,1637,759
9,1006,762,762,403
10,804,379,379,379
11,986,915,915,915
12,246,238,238,238
13,1352,1343,1343,1343
14,31,1591,1591,1591
15,1773,1773,1773,733
16,273,511,422,511
17,1234,1234,1234,1891
18,1547,2069,2069,111
19,2085,1658,1733,733
20,913,1658,2013,1658
21,573,1626,1626,733
22,1352,221,547,759
23,3,3,3,3
24,2090,1637,1637,2120
25,69,733,733,733
26,199,38,9,183
27,1234,1234,1234,1891
28,2039,1084,1974,1084
29,1734,1734,1734,2214
30,1078,251,1078,251
31,2172,1190,1327,1190
32,2039,1014,1014,462
33,2085,1658,1733,1658
34,1234,379,458,733
35,1299,1593,1593,1593
36,1663,733,733,733
37,2090,1637,1637,1207
38,2226,1295,350,1295
39,425,425,425,1684
40,1756,733,733,733
41,1352,231,231,1500
42,720,1084,1974,1084
43,1082,1084,1974,1084
44,425,1296,425,1296
45,2085,1955,1733,1955
46,2115,1153,1153,1716
47,591,733,733,733
48,1729,1197,1197,1197
1,198,1436,1436,1436
2,821,935,935,893
3,1533,1955,1955,1955
4,1544,1436,1436,1436
5,2052,1658,1733,1658
6,1949,1949,1949,735
7,2085,1658,1733,1658
8,1881,1658,2013,733
9,1966,1788,1788,1788
10,573,1626,1626,733
11,804,379,379,379
12,1660,1660,1660,1942
13,993,1708,1708,1585
14,1115,837,1115,837
15,1662,1585,1974,1585
16,2090,1637,1637,759
17,2085,1658,1733,733
18,1647,1212,2071,1212
19,31,1591,1591,1591
20,1533,1227,1227,1227
21,1006,762,762,403
22,1352,955,1846,1500
23,246,238,238,238
24,1371,1958,1877,1958
25,954,2001,1628,1726
26,2085,1955,1733,1955
27,1966,733,733,733
28,2085,1955,1733,1955
29,573,2008,2008,1758
30,954,2001,1628,1388
31,1547,2069,2069,111
32,986,915,915,915
33,273,511,422,511
34,821,935,935,821
35,2052,2020,2020,2020
36,1234,1234,1234,1891
37,1234,1234,1234,1891
38,2039,1084,1974,1084
39,913,1658,2013,1658
40,3,3,3,3
41,1082,1084,1974,1084
42,69,733,733,733
43,1491,1436,1998,1436
44,1932,1670,1733,1670
45,821,821,2154,1658
46,1250,854,854,854
47,2090,1637,1637,2120
48,1622,77,1622,783
49,1319,837,1316,837
50,1299,1593,1593,1593
1,1115,837,1115,837
2,198,1436,1436,1436
3,993,1708,1708,1585
4,1841,719,439,719
5,1949,1949,1949,735
6,1544,1436,1436,1436
7,1881,1658,2013,733
8,821,935,935,893
9,804,379,379,379
10,1660,1660,1660,1942
11,2052,1658,1733,1658
12,2090,1637,1637,759
13,1366,1684,1684,1684
14,1533,1955,1955,1955
15,1647,1212,2071,1212
16,31,1591,1591,1591
17,2085,1658,1733,1658
18,1006,762,762,403
19,246,238,238,238
20,1662,1585,1974,1585
21,573,1626,1626,733
22,1352,955,1846,1500
23,1966,1788,1788,1788
24,2085,1658,1733,733
25,1547,2069,2069,111
26,1371,1958,1877,1958
27,954,2001,1628,1726
28,273,511,422,511
29,1234,1234,1234,1891
30,1533,1227,1227,1227
31,2039,1084,1974,1084
32,986,915,915,915
33,2085,1955,1733,1955
34,1966,733,733,733
35,1082,1084,1974,1084
36,1881,733,733,733
37,3,3,3,3
38,2085,1955,1733,1955
39,2209,931,2209,931
40,954,2001,1628,1388
41,913,1658,2013,1658
42,821,935,935,821
43,2052,2020,2020,2020
44,573,2008,2008,1758
45,69,733,733,733
46,1234,1234,1234,1891
47,1352,1352,1471,1500
48,591,733,733,733
49,1491,934,951,778
50,1299,1593,1593,1593
1,1881,733,733,733
2,1002,1251,1251,733
3,1841,719,439,719
4,1115,837,1115,837
5,243,243,243,1744
6,198,1436,1436,1436
7,993,1708,1708,1585
8,1366,1684,1684,1684
9,1881,1658,2013,733
10,1002,1676,1676,733
11,1544,1436,1436,1436
12,1949,1949,1949,735
13,804,379,379,379
14,2090,1637,1637,759
15,1660,1660,1660,1942
16,31,1591,1591,1591
17,821,935,935,893
18,1647,1212,2071,1212
19,246,238,238,238
20,2052,1658,1733,1658
21,1006,762,762,403
22,1352,955,1846,1500
23,1533,1955,1955,1955
24,1662,1585,1974,1585
25,243,243,243,1744
26,2085,1658,1733,1658
27,1547,2069,2069,111
28,1234,1234,1234,1891
29,2209,931,2209,931
30,573,1626,1626,733
31,1535,1535,1535,1876
32,1002,594,1785,733
33,2085,1658,1733,733
34,273,511,422,511
35,2039,1084,1974,1084
36,1966,1788,1788,1788
37,1884,733,733,733
38,1371,1958,1877,1958
39,591,733,733,733
40,986,915,915,915
41,3,3,3,3
42,1082,1084,1974,1084
43,1352,1352,1471,1500
44,1078,251,1078,251
45,1002,1785,1785,1852
46,69,733,733,733
47,1491,934,951,778
48,243,243,243,1744
49,954,2001,1628,1726
50,913,1658,2013,1658
1,1881,733,733,733
2,1002,1251,1251,733
3,1621,1674,1219,919
4,1841,719,439,719
5,1250,681,681,681
6,198,1436,1436,1436
7,1115,837,1115,837
8,1002,1676,1676,733
9,993,1708,1708,1585
10,1366,1684,1684,1684
11,1881,1658,2013,733
12,1544,1436,1436,1436
13,243,243,243,1744
14,804,379,379,379
15,1949,1949,1949,735
16,2090,1637,1637,759
17,31,1591,1591,1591
18,1660,1660,1660,1942
19,246,238,238,238
20,1647,1212,2071,1212
21,1006,762,762,403
22,821,935,935,893
23,1352,955,1846,1500
24,2052,1658,1733,1658
25,1234,1234,1234,1891
26,1662,1585,1974,1585
27,1547,2069,2069,111
28,2085,1658,1733,1658
29,1535,1535,1535,1876
30,1533,1955,1955,1955
31,3,3,3,3
32,1884,733,733,733
33,1352,1352,1471,1500
34,591,733,733,733
35,1002,594,1785,733
36,273,511,422,511
37,2209,931,2209,931
38,1078,251,1078,251
39,1491,934,951,778
40,2085,1658,1733,733
41,573,1626,1626,733
42,2039,1084,1974,1084
43,1082,1084,1974,1084
44,69,733,733,733
45,975,1903,1903,1903
46,986,915,915,915
47,2113,1379,1379,1379
48,762,403,403,403
49,1002,1785,1785,1852
50,1966,1788,1788,1788
1,720,720,720,509
2,971,971,971,759
3,1250,681,681,681
4,1881,733,733,733
5,1002,1251,1251,733
6,1841,719,439,719
7,198,1436,1436,1436
8,1115,837,1115,837
9,1002,1676,1676,733
10,1621,1674,1219,919
11,993,1708,1708,1585
12,1881,1658,2013,733
13,1366,1684,1684,1684
14,1544,1436,1436,1436
15,804,379,379,379
16,2090,1637,1637,759
17,243,243,243,1744
18,31,1591,1591,1591
19,1949,1949,1949,735
20,246,238,238,238
21,1884,733,733,733
22,1660,1660,1660,1942
23,1647,1212,2071,1212
24,1006,762,762,403
25,1352,955,1846,1500
26,1234,1234,1234,1891
27,821,935,935,893
28,1547,2069,2069,111
29,1662,1585,1974,1585
30,2052,1658,1733,1658
31,3,3,3,3
32,1352,1352,1471,1500
33,1491,934,951,778
34,591,733,733,733
35,1535,1535,1535,1876
36,2085,1658,1733,1658
37,975,1903,1903,1903
38,1078,251,1078,251
39,1533,1955,1955,1955
40,273,511,422,511
41,1639,1973,1639,1973
42,1491,1491,1491,1759
43,69,733,733,733
44,1603,1892,967,920
45,2209,931,2209,931
46,2085,1658,1733,733
47,2039,1084,1974,1084
48,1529,1471,1471,1178
49,36,733,733,733
50,1082,1084,1974,1084
1,971,971,971,759
2,720,720,720,509
3,5,894,894,894
4,1002,1676,1676,733
5,1250,681,681,681
6,1841,719,439,719
7,2113,1338,1338,1338
8,1881,733,733,733
9,198,1436,1436,1436
10,1002,1251,1251,733
11,1115,837,1115,837
12,993,1708,1708,1585
13,1621,1674,1219,919
15,1881,1658,2013,733
16,1544,1436,1436,1436
17,1366,1684,1684,1684
18,804,379,379,379
19,31,1591,1591,1591
20,2090,1637,1637,759
21,246,238,238,238
22,243,243,243,1744
23,1884,733,733,733
24,1647,1212,2071,1212
25,1949,1949,1949,735
26,591,733,733,733
27,1006,762,762,403
28,1234,1234,1234,1891
29,1660,1660,1660,1942
30,1491,934,951,778
31,1352,1352,1471,1500
33,1352,955,1846,1500
34,1547,2069,2069,111
35,975,1903,1903,1903
36,1756,733,733,733
37,821,935,935,893
38,1639,1973,1639,1973
39,2052,1658,1733,1658
40,1002,742,742,1500
41,3,3,3,3
42,1662,1585,1974,1585
43,447,733,733,733
44,1491,1491,1491,1759
45,1621,994,994,994
46,69,733,733,733
47,1535,1535,1535,1876
48,1078,251,1078,251
49,1529,1471,1471,1178
50,1416,1734,1722,1416
1,971,971,971,759
2,720,720,720,509
4,1773,1773,1773,733
5,1002,1676,1676,733
6,1841,719,439,719
7,198,1436,1436,1436
8,2113,1338,1338,1338
9,1250,681,681,681
10,5,894,894,894
11,1881,733,733,733
12,1115,837,1115,837
13,1002,1251,1251,733
14,993,1708,1708,1585
15,1544,1436,1436,1436
16,1881,1658,2013,733
17,1621,1674,1219,919
18,1366,1684,1684,1684
19,31,1591,1591,1591
20,1416,1734,1722,1416
21,804,379,379,379
22,2090,1637,1637,759
23,246,238,238,238
24,591,733,733,733
25,1234,1234,1234,1891
26,1647,1212,2071,1212
27,1006,762,762,403
28,1550,51,51,51
29,1491,934,951,778
30,1884,733,733,733
31,1756,733,733,733
32,1352,1352,1471,1500
33,856,681,681,681
34,1949,1949,1949,735
35,1505,1808,2020,733
36,447,733,733,733
37,243,243,243,1744
38,975,1903,1903,1903
39,1660,1660,1660,1942
40,1547,2069,2069,111
41,821,935,935,893
43,1491,1491,1491,1759
44,1352,955,1846,1500
45,1182,539,539,539
46,2052,1658,1733,1658
47,1002,742,742,1500
48,1078,251,1078,251
49,449,733,733,733
50,1366,837,1871,837
1,971,971,971,759
2,720,720,720,509
4,1002,1676,1676,733
5,1841,719,439,719
6,198,1436,1436,1436
7,2113,1338,1338,1338
8,1250,681,681,681
9,5,894,894,894
10,1881,733,733,733
11,1967,1257,1257,1257
12,1115,837,1115,837
13,993,1708,1708,1585
14,1002,1251,1251,733
15,1881,1658,2013,733
16,1544,1436,1436,1436
17,1773,1773,1773,733
18,31,1591,1591,1591
19,1621,1674,1219,919
20,1366,1684,1684,1684
21,804,379,379,379
22,856,681,681,681
23,2090,1637,1637,759
24,246,238,238,238
25,1352,1352,1471,1500
26,591,733,733,733
27,1416,1734,1722,1416
28,1234,1234,1234,1891
29,1756,733,733,733
30,1505,1808,2020,733
31,447,733,733,733
32,1491,934,951,778
33,1647,1212,2071,1212
34,1006,762,762,403
35,1884,733,733,733
36,1550,51,51,51
37,975,1903,1903,1903
38,1660,1660,1660,1942
39,1949,1949,1949,735
40,1547,2069,2069,111
41,971,971,971,733
42,1491,1491,1491,1759
43,1215,1660,1217,1033
44,1182,539,539,539
45,243,243,243,1744
46,682,2202,1654,426
47,36,733,733,733
48,1460,57,9,58
49,449,733,733,733
50,1352,955,1846,1500
1,365,1227,1227,733
2,425,1640,425,2088
3,1967,1257,1257,1257
4,971,971,971,759
5,720,720,720,509
7,711,711,711,711
8,1881,932,932,733
9,1841,719,439,719
10,198,1436,1436,1436
11,2066,1788,2065,1788
12,1002,1676,1676,733
13,2113,1338,1338,1338
14,425,425,425,576
15,1250,681,681,681
16,1881,733,733,733
17,5,894,894,894
18,1115,837,1115,837
19,993,1708,1708,1585
20,1262,1835,1835,1835
21,1881,1658,2013,733
22,31,1591,1591,1591
23,1002,1251,1251,733
24,1544,1436,1436,1436
25,1621,1674,1219,919
26,1366,1684,1684,1684
27,856,681,681,681
28,804,379,379,379
29,2090,1637,1637,759
30,1352,1352,1471,1500
31,1460,57,9,58
32,246,238,238,238
33,2142,1762,1491,1762
34,425,425,425,2088
35,591,733,733,733
36,1773,1773,1773,733
37,447,733,733,733
38,1234,1234,1234,1891
39,1756,733,733,733
40,1215,915,915,1086
41,971,971,971,733
42,1491,934,951,778
43,1647,1212,2071,1212
44,1262,1835,1835,1835
45,975,1903,1903,1903
46,1006,762,762,403
47,1550,51,51,51
48,1505,1808,2020,733
49,425,425,425,167
50,1491,1491,1491,1759
1,971,971,971,759
2,1967,1257,1257,1257
4,738,1172,900,1172
5,2066,1788,2065,1788
6,425,1640,425,2088
7,365,1227,1227,733
8,1262,1835,1835,1835
10,720,720,720,509
11,198,1436,1436,1436
12,1546,1546,1546,1546
13,1841,719,439,719
14,738,1699,900,1699
15,2142,1762,1491,1762
16,2113,1338,1338,1338
17,1881,932,932,733
18,1250,681,681,681
19,711,711,711,711
20,1881,733,733,733
21,5,894,894,894
22,1002,1676,1676,733
23,1115,837,1115,837
24,993,1708,1708,1585
25,31,1591,1591,1591
26,3,1658,1733,733
27,1881,1658,2013,733
28,1544,1436,1436,1436
29,1002,1251,1251,733
30,1366,1684,1684,1684
31,447,733,733,733
32,856,681,681,681
33,1621,1674,1219,919
34,804,379,379,379
35,425,425,425,576
36,973,957,1523,957
37,1352,1352,1471,1500
38,1262,1835,1835,1835
39,591,733,733,733
40,2090,1637,1637,759
41,246,238,238,238
42,1554,1678,1678,1678
43,971,971,971,733
44,738,1876,2228,1876
45,1460,57,9,58
46,1234,1234,1234,1891
47,1773,1773,1773,733
48,1491,934,951,778
49,1025,733,733,733
50,1491,1491,1491,1759
1,2178,244,244,244
2,1546,1546,1546,1546
3,738,1172,900,1172
4,544,281,1939,281
5,1262,1835,1835,1835
6,971,971,971,759
7,1002,1608,1922,1608
8,1967,1257,1257,1257
10,2142,1762,1491,1762
11,425,1640,425,2088
12,738,1699,900,1699
14,2066,1788,2065,1788
17,720,720,720,509
18,198,1436,1436,1436
19,365,1227,1227,733
20,1841,719,439,719
22,1156,1684,415,2213
23,2113,1338,1338,1338
24,3,1658,1733,733
25,1250,681,681,681
26,1262,1835,1835,1835
27,993,1708,1708,1585
28,1881,733,733,733
29,31,1591,1591,1591
30,1115,837,1115,837
31,1554,1678,1678,1678
32,1647,2071,1646,2071
33,1002,1676,1676,733
34,5,894,894,894
35,1544,1436,1436,1436
36,447,733,733,733
37,1881,932,932,733
38,1881,1658,2013,733
39,711,711,711,711
40,971,971,971,733
41,928,1471,1471,1471
42,1002,1251,1251,733
43,591,733,733,733
44,1066,7,1344,7
45,1352,1352,1471,1500
46,544,172,2006,172
47,1366,1684,1684,1684
48,856,681,681,681
49,804,379,379,379
50,2090,1637,1637,759
2,2178,244,244,244
3,1002,1608,1922,1608
4,1250,1823,1823,1823
5,2121,2120,1579,2120
6,2039,837,900,837
7,544,281,1939,281
8,971,971,971,759
10,1262,1835,1835,1835
11,2033,425,425,425
12,2121,2120,1579,2120
13,738,1172,900,1172
14,1967,1257,1257,1257
15,1546,1546,1546,1546
16,2142,1762,1491,1762
19,199,647,1939,647
20,2121,2120,1579,2120
21,425,1640,425,2088
22,2066,1788,2065,1788
23,198,1436,1436,1436
24,720,720,720,509
25,738,1699,900,1699
26,1156,1684,415,2213
27,365,1227,1227,733
28,1841,719,439,719
29,2121,2120,1579,2120
31,1554,1678,1678,1678
32,1262,1835,1835,1835
33,2113,1338,1338,1338
34,447,733,733,733
35,1250,681,681,681
36,1647,2071,1646,2071
37,993,1708,1708,1585
38,31,1591,1591,1591
39,3,1658,1733,733
40,1066,7,1344,7
41,928,1471,1471,1471
42,1881,733,733,733
43,1544,1436,1436,1436
44,1115,837,1115,837
45,1002,1676,1676,733
46,5,894,894,894
47,1881,1658,2013,733
48,1491,1491,1491,1759
49,591,733,733,733
50,1352,1352,1471,1500
1,1695,757,888,757
2,732,1295,1295,1295
3,1234,61,1234,61
4,1227,1227,1227,1090
6,2120,2120,762,2120
7,199,647,1939,647
8,1002,1608,1922,1608
9,2039,837,900,837
10,2178,244,244,244
11,2120,2120,1602,2120
12,1250,1823,1823,1823
13,806,251,251,251
14,544,281,1939,281
15,971,971,971,759
16,2120,2120,2016,2120
17,1262,1835,1835,1835
18,2033,425,425,425
19,2142,1762,1491,1762
20,1695,992,1695,249
21,2121,2120,1579,2120
22,1967,1257,1257,1257
23,1221,1744,1227,1744
24,738,1172,900,1172
25,198,1436,1436,1436
26,1773,1640,2154,733
27,1881,1188,1188,733
30,1695,845,1874,249
31,720,720,720,509
32,425,1640,425,2088
33,1156,1684,415,2213
34,1695,1927,1874,1927
35,2066,1788,2065,1788
36,1695,1393,1874,249
37,447,733,733,733
38,2121,2120,1579,2120
39,449,733,733,733
40,1554,1678,1678,1678
41,1695,1937,1874,249
42,1066,7,1344,7
43,1262,1835,1835,1835
44,1546,1546,1546,1546
46,1881,2003,2003,733
47,1841,719,439,719
48,1359,209,439,209
49,993,1708,1708,1585
50,1881,1658,2013,733
1,1227,1227,1227,1227
2,198,1436,1436,1436
3,732,1295,1295,1295
4,1966,2069,2069,511
5,2120,2120,762,2120
6,1695,757,888,757
7,2120,2120,1602,2120
8,1227,1227,1227,1090
10,1002,1608,1922,1608
11,199,647,1939,647
12,2120,2120,2016,2120
13,1234,61,1234,61
14,2178,244,244,244
15,2039,837,900,837
16,971,971,971,759
17,1250,1823,1823,1823
18,544,281,1939,281
19,1262,1835,1835,1835
20,2142,1762,1491,1762
21,1881,327,327,733
22,2033,425,425,425
23,1292,1973,1973,1973
25,198,1436,1436,1436
26,806,251,251,251
27,1967,1257,1257,1257
28,738,1172,900,1172
29,2121,2120,1579,2120
30,720,720,720,509
31,1156,1684,415,2213
32,1773,1640,2154,733
33,1359,209,439,209
35,425,1640,425,2088
36,447,733,733,733
37,1554,1678,1678,1678
38,449,733,733,733
39,1078,1050,2017,1050
40,1881,1658,2013,733
42,1066,7,1344,7
43,2066,1788,2065,1788
44,365,1227,1227,733
45,2121,2120,1579,2120
46,1695,992,1695,249
47,993,1708,1708,1585
48,365,1227,1227,733
49,591,733,733,733
50,1234,1234,1234,1891
1,1227,1227,1227,1227
2,198,1436,1436,1436
3,732,1295,1295,1295
4,1316,1316,1316,2048
5,1966,2069,2069,511
6,1695,757,888,757
7,2120,2120,762,2120
8,1002,1608,1922,1608
10,1227,1227,1227,1090
11,412,2120,2177,2120
12,199,647,1939,647
13,2120,2120,1602,2120
14,1182,1676,1676,1676
15,2178,244,244,244
16,971,971,971,759
17,544,281,1939,281
18,2039,837,900,837
19,1250,1823,1823,1823
20,2120,2120,2016,2120
21,1234,61,1234,61
22,1316,1316,1316,1915
23,2142,1762,1491,1762
24,198,1436,1436,1436
25,763,1444,1651,733
26,1292,1973,1973,1973
27,1262,1835,1835,1835
28,2033,425,425,425
29,1078,1050,2017,1050
30,1253,931,2210,931
31,1967,1257,1257,1257
32,720,720,720,509
33,1156,1684,415,2213
34,738,1172,900,1172
35,425,1640,425,2088
36,447,733,733,733
37,449,733,733,733
38,1554,1678,1678,1678
39,2121,2120,1579,2120
40,1911,1911,1019,24
41,1881,327,327,733
43,1881,1658,2013,733
44,946,2021,2021,2021
45,806,251,251,251
46,1066,7,1344,7
47,971,971,971,733
48,1773,1640,2154,733
49,993,1708,1708,1585
1,80,639,639,639
2,1316,1316,1316,2048
3,412,509,1309,509
4,80,639,238,639
5,1227,1227,1227,1227
6,198,1436,1436,1436
7,732,1295,1295,1295
8,1182,1676,1676,1676
9,1966,2069,2069,511
10,412,2120,2177,2120
11,2120,2120,762,2120
12,1002,1608,1922,1608
13,1695,757,888,757
15,971,971,971,759
16,199,647,1939,647
17,1227,1227,1227,1090
18,1078,1050,2017,1050
19,2178,244,244,244
20,2120,2120,1602,2120
21,544,281,1939,281
22,2039,837,900,837
23,1250,1823,1823,1823
24,198,1436,1436,1436
25,2120,2120,2016,2120
26,1292,1973,1973,1973
27,412,1660,1660,1876
28,1660,1660,1660,1876
29,2142,1762,1491,1762
30,1234,61,1234,61
31,971,971,971,733
32,763,1444,1651,733
33,2033,425,425,425
34,1262,1835,1835,1835
35,1967,1257,1257,1257
36,1240,516,516,733
37,720,720,720,509
38,449,733,733,733
39,1316,1316,1316,1915
40,447,733,733,733
41,1156,1684,415,2213
42,1911,1911,1019,24
43,1554,1678,1678,1678
44,425,1640,425,2088
45,738,1172,900,1172
46,1066,7,1344,7
48,1881,1658,2013,733
49,806,251,251,251
50,1253,931,2210,931
1,80,639,639,639
2,80,639,238,639
3,1278,1277,1277,1401
4,1316,1316,1316,2048
5,1227,1227,1227,1227
6,1182,1676,1676,1676
7,198,1436,1436,1436
8,732,1295,1295,1295
9,412,509,1309,509
10,1966,2069,2069,511
11,1078,1050,2017,1050
12,1002,1608,1922,1608
14,2120,2120,762,2120
15,1695,757,888,757
16,971,971,971,759
17,199,647,1939,647
18,544,281,1939,281
19,2178,244,244,244
20,1227,1227,1227,1090
21,412,2120,2177,2120
22,1257,1257,1257,1257
23,2039,837,900,837
24,2120,2120,1602,2120
25,1250,1823,1823,1823
26,1240,516,516,733
27,1292,1973,1973,1973
28,198,1436,1436,1436
29,971,971,971,733
30,2142,1762,1491,1762
31,2120,2120,2016,2120
32,763,1444,1651,733
33,1883,1883,1883,1619
34,1660,1660,1660,1876
35,1234,61,1234,61
36,2033,425,425,425
37,447,733,733,733
38,720,720,720,509
39,1967,1257,1257,1257
40,1554,1678,1678,1678
41,1262,1835,1835,1835
42,449,733,733,733
43,425,1640,425,2088
44,591,733,733,733
45,1156,1684,415,2213
46,1066,7,1344,7
47,1868,1684,1684,1555
48,412,1660,1660,1876
50,706,733,733,733
1,80,639,639,639
2,1646,1084,1974,1084
3,80,639,238,639
4,1278,1277,1277,1401
5,1316,1316,1316,2048
6,1182,1676,1676,1676
7,198,1436,1436,1436
8,1227,1227,1227,1227
9,1078,1050,2017,1050
10,732,1295,1295,1295
11,871,915,915,915
12,1527,1201,1201,1753
13,1966,2069,2069,511
14,1002,1608,1922,1608
15,1278,1277,1277,1277
16,971,971,971,759
17,412,509,1309,509
19,1085,1830,1749,2214
20,1695,757,888,757
21,2120,2120,762,2120
22,764,733,733,733
23,2178,244,244,244
24,544,281,1939,281
25,199,647,1939,647
26,1227,1227,1227,1090
27,1240,516,516,733
28,971,971,971,733
29,2039,837,900,837
30,1250,1823,1823,1823
31,198,1436,1436,1436
32,2120,2120,1602,2120
33,1292,1973,1973,1973
34,412,2120,2177,2120
35,763,1444,1651,733
36,2142,1762,1491,1762
37,449,733,733,733
38,1868,1684,1684,1555
39,2120,2120,2016,2120
40,447,733,733,733
41,871,915,915,915
42,720,720,720,509
43,1967,1257,1257,1257
44,1554,1678,1678,1678
45,591,733,733,733
46,2033,425,425,425
47,1234,61,1234,61
48,706,733,733,733
49,425,1640,425,2088
50,1156,1684,415,2213
1,1491,1491,1491,1491
2,720,720,720,1333
3,80,639,639,639
4,579,394,1949,394
5,80,639,238,639
6,1646,1084,1974,1084
7,1316,1316,1316,2048
8,1078,1050,2017,1050
9,1248,1466,1466,1466
10,1278,1277,1277,1401
11,1182,1676,1676,1676
12,198,1436,1436,1436
13,1227,1227,1227,1227
14,732,1295,1295,1295
15,971,971,971,759
16,1527,1201,1201,1753
17,1002,1608,1922,1608
18,1966,2069,2069,511
20,2178,1684,1684,2088
21,579,379,379,379
22,2120,2120,762,2120
23,971,971,971,733
24,412,509,1309,509
25,871,915,915,915
26,1695,757,888,757
27,2178,244,244,244
28,544,281,1939,281
29,579,1949,1949,1949
30,1278,1277,1277,1277
31,1227,1227,1227,1090
32,199,647,1939,647
33,1240,516,516,733
34,2197,1251,1251,733
35,2039,837,900,837
36,198,1436,1436,1436
37,1250,1823,1823,1823
38,764,733,733,733
39,1085,1830,1749,2214
40,720,720,720,509
41,579,56,904,56
42,449,733,733,733
43,1292,1973,1973,1973
44,2120,2120,1602,2120
45,447,733,733,733
46,763,1444,1651,733
47,2142,1762,1491,1762
48,2120,2120,2016,2120
49,884,211,1998,211
50,579,953,953,1230
1,1491,1491,1491,1491
2,720,720,720,1333
3,80,639,639,639
4,1248,1466,1466,1466
5,80,639,238,639
6,579,394,1949,394
7,1646,1084,1974,1084
8,1078,1050,2017,1050
9,2178,1684,1684,2088
10,1316,1316,1316,2048
11,1182,1676,1676,1676
12,1278,1277,1277,1401
13,198,1436,1436,1436
14,856,1524,1524,1844
15,1227,1227,1227,1227
16,732,1295,1295,1295
17,1527,1945,1945,1945
18,971,971,971,759
19,1527,1201,1201,1753
20,1002,1608,1922,1608
21,1966,2069,2069,511
23,971,971,971,733
24,2120,2120,762,2120
26,544,281,1939,281
27,1695,757,888,757
28,199,647,1939,647
29,2178,244,244,244
30,2034,724,724,724
31,1240,516,516,733
32,412,509,1309,509
33,579,379,379,379
34,871,915,915,915
35,1227,1227,1227,1090
36,720,720,720,509
37,198,1436,1436,1436
38,2197,1251,1251,733
39,1250,1823,1823,1823
40,2039,837,900,837
41,447,733,733,733
42,1221,1658,1748,1658
43,449,733,733,733
44,1278,1277,1277,1277
45,764,733,733,733
46,1270,2117,1844,2117
47,1662,761,1974,1668
48,1292,1973,1973,1973
49,1757,2104,2104,2104
50,1250,211,211,211
1,80,639,639,639
2,80,639,639,639
3,1491,1491,1491,1491
4,199,182,1574,182
5,720,720,720,1333
6,80,639,639,639
7,1248,1466,1466,1466
8,80,639,238,639
9,579,394,1949,394
10,1078,1050,2017,1050
11,1646,1084,1974,1084
12,2178,1684,1684,2088
13,856,1524,1524,1844
14,1316,1316,1316,2048
15,1527,1945,1945,1945
16,1182,1676,1676,1676
17,198,1436,1436,1436
18,2120,2120,586,2120
19,1278,1277,1277,1401
20,1227,1227,1227,1227
21,199,762,762,762
22,971,971,971,759
23,732,1295,1295,1295
24,1527,1201,1201,1753
25,1002,1608,1922,1608
26,1270,2117,1844,2117
27,1966,2069,2069,511
28,971,971,971,733
29,2120,2120,762,2120
30,2034,724,724,724
31,199,647,1939,647
32,1757,2104,2104,2104
34,2178,244,244,244
35,544,281,1939,281
36,720,720,720,509
37,2197,1251,1251,733
38,1240,516,516,733
39,1695,757,888,757
40,447,733,733,733
