rank,°¡¼ö,ÀÛ°î,ÀÛ»ç,Æí°î
14,1640,1640,864,1640
15,1143,733,733,733
16,1299,539,539,539
17,2228,2228,2228,1136
18,2039,837,1157,837
19,2226,932,932,587
20,2096,1436,539,1436
21,1491,1699,900,1699
22,1731,2206,2206,2206
23,2103,1591,1591,1591
24,537,536,536,733
26,1002,1936,730,1936
27,3,1658,1733,733
28,1883,289,289,289
29,37,733,733,733
30,2176,2160,2160,2160
31,1299,1593,1593,1593
32,1551,1684,1684,1684
33,2098,1936,1497,1936
34,1291,1973,1973,1027
35,525,733,522,733
36,1103,1684,1595,1595
37,1224,796,1224,796
38,1424,2167,1391,2167
39,1198,923,1144,1944
40,1560,2175,2175,1744
41,1950,733,733,733
42,859,1065,1065,1065
43,1896,1658,852,1658
44,1227,1227,1227,1466
45,449,733,733,733
46,37,733,733,733
47,993,2001,2001,2001
48,1552,1381,1998,1381
49,826,1740,1740,1516
50,2132,733,733,733
1,80,639,639,639
2,732,1227,1227,1227
3,1948,61,1948,733
4,2039,837,900,837
5,1099,854,854,854
6,1545,1676,2228,733
7,1731,2206,2206,2206
8,856,2013,1658,733
9,732,2204,2204,2204
10,1002,1867,1867,1867
11,214,837,2161,1714
12,575,733,733,733
13,2098,1436,1436,1436
14,1883,289,289,289
15,2226,761,761,733
16,1679,1014,1157,733
17,1948,838,838,838
18,973,875,875,733
19,1948,838,838,838
20,1841,757,1841,733
21,1739,1636,1787,388
22,1475,1699,900,1699
23,1299,539,539,539
24,732,48,97,216
25,1948,957,900,1657
26,1118,2160,2160,2160
27,1143,733,733,733
28,2096,1436,539,1436
30,2092,1684,1684,486
31,2228,2228,2228,1136
32,537,536,536,733
33,732,498,498,498
34,1948,838,838,838
35,1424,2167,1391,2167
36,1491,1699,900,1699
37,2226,932,932,587
38,2103,1591,1591,1591
39,859,1065,1065,1065
40,1560,2175,2175,1744
41,3,1658,1733,733
42,1291,1973,1973,1027
43,2039,837,1157,837
44,732,448,899,97
45,37,733,733,733
46,1551,1684,1684,1684
47,1002,1936,730,1936
48,2176,2160,2160,2160
49,1475,2206,2206,2206
50,525,733,522,733
1,80,639,639,639
2,80,238,238,639
3,80,238,238,111
4,80,238,238,639
5,80,238,238,157
6,732,1227,1227,1227
7,80,238,238,508
8,1948,61,1948,733
9,1545,1676,2228,733
10,1099,854,854,854
11,2039,837,900,837
12,80,238,238,154
13,1731,2206,2206,2206
14,1679,1014,1157,733
15,1002,1867,1867,1867
16,575,733,733,733
17,214,837,2161,1714
18,2098,1436,1436,1436
19,856,2013,1658,733
20,2226,761,761,733
21,732,2204,2204,2204
22,1901,1227,1227,1466
23,1948,838,838,838
24,1475,1699,900,1699
25,1948,838,838,838
26,1299,539,539,539
27,1841,757,1841,733
28,2096,1436,539,1436
29,973,875,875,733
30,1491,1699,900,1699
31,1424,2167,1391,2167
32,1883,289,289,289
33,1914,733,733,733
34,537,536,536,733
35,1948,957,900,1657
36,1143,733,733,733
38,3,1658,1733,733
39,1948,838,838,838
40,1118,2160,2160,2160
41,736,1153,1153,1716
42,1739,1636,1787,388
43,2226,932,932,587
44,1291,1973,1973,1027
45,2228,2228,2228,1136
46,525,733,522,733
47,37,733,733,733
48,1679,733,733,733
49,2103,1591,1591,1591
1,80,639,639,639
2,80,238,238,639
3,80,238,238,639
4,80,238,238,111
5,1545,1676,2228,733
6,732,1227,1227,1227
7,1948,61,1948,733
8,80,238,238,157
9,1099,854,854,854
10,80,238,238,508
11,1731,2206,2206,2206
12,2039,837,900,837
13,1099,2214,1099,2214
14,1002,1867,1867,1867
15,1679,1014,1157,733
16,80,238,238,154
17,2098,1436,1436,1436
18,575,733,733,733
19,1901,1227,1227,1466
20,214,837,2161,1714
21,856,2013,1658,733
22,329,733,733,733
23,1948,838,838,838
24,2096,1436,539,1436
25,2226,761,761,733
26,1424,2167,1391,2167
27,1491,1699,900,1699
28,732,2204,2204,2204
29,973,875,875,733
30,1475,1699,900,1699
31,1399,874,1158,874
32,1841,757,1841,733
33,537,536,536,733
34,525,733,522,733
35,2226,932,932,587
36,3,1658,1733,733
37,1948,838,838,838
38,1518,733,733,733
39,1948,957,900,1657
40,78,733,733,733
41,1039,733,733,733
42,1002,1936,730,1936
43,1883,289,289,289
45,37,733,733,733
46,1739,1636,1787,388
47,1143,733,733,733
48,1330,733,733,733
49,1198,940,940,1340
50,2120,2120,1004,2120
1,14,837,1236,837
2,878,933,933,933
3,14,2009,2228,1714
4,80,639,639,639
5,80,238,238,639
6,1545,1676,2228,733
7,14,1188,1188,1067
8,14,1201,797,797
9,732,1227,1227,1227
10,80,238,238,639
11,1948,61,1948,733
12,14,1660,1660,478
13,80,238,238,111
14,14,1775,1775,478
15,1099,854,854,854
16,1731,2206,2206,2206
17,113,1884,1884,907
18,2039,837,900,837
19,80,238,238,157
20,1522,822,900,733
21,80,238,238,508
22,939,733,1457,733
23,1320,733,1430,733
24,2098,1436,1436,1436
25,1002,1867,1867,1867
26,1679,1014,1157,733
27,1099,1648,1648,388
28,1549,733,733,733
29,1399,874,1158,874
30,214,837,2161,1714
31,78,1979,1979,1979
32,575,733,733,733
33,1970,1227,1227,1466
34,80,238,238,154
35,1039,733,733,733
36,2096,1436,539,1436
37,1491,1699,900,1699
38,1901,1227,1227,1466
39,1099,2214,1099,2214
40,1119,1637,1637,1123
41,537,536,536,733
42,329,733,733,733
43,329,733,733,733
44,1424,2167,1391,2167
45,525,733,522,733
46,449,733,733,733
47,856,2013,1658,733
48,1883,733,733,733
49,1948,838,838,838
50,1369,822,822,822
1,579,664,1939,664
2,14,837,1236,837
3,80,238,238,639
4,80,639,639,639
5,878,933,933,933
6,113,1884,1884,907
7,1545,1676,2228,733
8,1099,1648,1648,388
9,1262,1835,1835,1835
10,14,2009,2228,1714
11,732,1227,1227,1227
12,1948,61,1948,733
13,80,238,238,111
14,80,238,238,639
15,738,1658,1651,733
16,1460,57,1700,57
17,579,494,1949,494
18,1784,1444,1992,774
19,1234,875,875,842
20,1099,854,854,854
21,1731,2206,2206,2206
22,2039,837,900,837
23,579,1466,781,1635
24,80,238,238,157
25,579,101,1949,101
26,579,566,1939,566
27,579,379,911,379
28,579,664,1939,661
29,14,1188,1188,1067
30,1522,822,900,733
31,1784,469,733,774
