rank,°¡¼ö
12,1248
13,1248
14,1248
15,1248
16,188
17,1234
18,2008
19,1340
20,1248
21,1343
22,295
23,1248
24,1554
25,195
26,614
27,1690
28,708
29,1028
30,1130
31,655
32,188
33,293
34,295
35,1191
36,364
37,617
38,1554
39,1635
40,712
41,499
42,56
43,2095
44,1030
45,226
46,506
47,1429
48,565
49,2018
1,295
2,1248
3,1731
4,1248
5,489
6,1248
7,869
8,1523
9,2095
10,1248
11,1705
12,1130
13,1248
14,188
15,712
16,1933
17,614
18,1340
19,1248
20,2008
21,1248
22,56
23,1248
24,1234
25,195
26,869
27,1248
28,1248
29,295
30,1343
31,1028
32,1412
33,188
34,1248
35,1554
36,1690
37,869
38,869
39,655
40,2018
41,869
42,657
43,869
44,295
45,2095
46,869
47,1635
48,452
49,1052
50,1933
1,2018
2,2141
3,1052
4,295
5,1731
6,1248
7,2141
8,729
9,802
10,380
11,1248
12,489
13,1731
14,565
15,2141
16,1248
17,1052
18,1412
19,1248
20,1933
21,531
22,729
23,1622
24,1523
25,1705
26,188
27,2095
28,1986
29,1146
30,1248
31,1052
32,2008
33,1248
34,614
35,1305
36,729
37,139
38,1248
39,1690
40,981
41,744
42,1248
43,421
44,2095
45,2018
46,1986
47,1340
48,1130
49,1248
50,2008
1,2141
2,2018
3,1052
4,729
5,295
6,2141
7,2141
8,1622
9,1248
10,1731
11,565
12,531
13,2018
14,729
15,1248
16,1787
17,489
18,729
19,729
20,380
21,727
22,1248
23,421
24,1248
25,1731
26,188
27,1146
28,2008
29,1523
30,802
31,1986
32,1412
33,1052
34,1705
35,421
36,1248
37,1441
38,1622
39,744
40,1933
41,1622
42,729
43,729
44,614
45,1622
46,729
47,1052
48,1248
49,1690
1,2141
2,1787
3,1787
4,2018
5,1052
6,911
7,2018
8,295
9,729
10,1622
11,729
12,1248
13,1731
14,565
15,531
16,2141
17,2141
18,729
19,1248
20,489
21,1787
22,727
23,1248
24,1146
25,1787
26,1248
27,554
28,1731
29,188
30,380
31,1787
32,1523
33,1705
34,1787
35,2085
36,1781
37,1248
38,1441
39,2064
40,36
41,1787
42,1787
43,729
44,2008
45,1787
46,657
47,4
48,802
1,1787
2,2141
3,1787
4,141
5,1787
6,911
7,1052
8,2018
9,380
10,1787
11,295
12,1787
13,1622
14,1933
15,2018
16,1787
17,729
18,565
19,1248
20,1731
21,1781
22,531
23,822
24,1787
25,269
26,2141
27,456
28,1787
29,188
30,1248
31,554
32,1787
33,489
34,729
35,1787
36,2141
37,1146
38,1787
39,1248
40,1523
41,727
42,874
43,188
44,188
45,1551
46,1248
47,712
48,188
1,188
2,1551
3,188
4,141
5,188
6,188
7,1078
8,188
9,1052
10,2018
11,1551
12,2141
13,295
14,1904
15,911
16,1933
17,1248
18,1622
19,2018
20,1078
21,1551
22,524
23,1787
24,1078
25,141
26,269
27,1078
28,1551
29,565
30,1078
31,729
32,2223
33,380
34,1551
35,2141
36,1078
37,1078
38,1078
39,1787
40,332
41,1731
42,1787
43,1248
44,1078
45,141
46,141
47,110
48,1078
49,1781
1,110
2,188
3,1551
4,141
5,1904
6,1078
7,188
8,1402
9,729
10,2141
11,110
12,1198
13,188
14,1254
15,188
16,911
17,110
18,1622
19,1551
20,295
21,1052
22,188
23,1078
24,2018
25,2018
26,1343
27,1933
28,269
29,332
30,162
31,1248
32,2223
33,1078
34,645
35,110
36,1078
37,565
38,110
39,729
40,141
41,1787
42,1078
43,1078
44,1781
45,1078
46,1078
47,129
48,1078
49,110
1,1248
2,1248
3,1248
4,110
5,1248
6,188
7,1254
8,1305
9,1551
10,1248
11,1019
12,1198
13,141
14,729
15,1904
16,1904
17,1734
18,188
19,2141
20,1305
21,1078
22,1622
23,911
24,1402
25,295
26,1248
27,2018
28,1904
29,1130
30,188
31,188
32,369
33,110
34,1974
35,1305
36,1305
37,1052
38,1305
39,1305
40,332
41,657
42,269
43,1305
44,1305
45,2223
46,2018
47,1305
48,1248
49,456
50,1305
1,1248
2,1248
3,1248
4,1340
5,1248
6,1019
7,110
8,1248
9,295
10,1904
11,188
12,2008
13,1551
14,1734
15,1254
16,1305
17,141
18,1198
19,729
20,1523
21,1130
22,1904
23,353
24,1904
25,2141
26,188
27,1622
28,295
29,1899
30,1402
31,1248
32,1523
33,911
34,332
35,1974
36,456
37,269
38,1248
39,1052
40,2018
41,1974
42,1078
43,110
44,188
45,188
46,295
47,2223
48,22
49,2018
50,1904
1,295
2,1298
3,554
4,1248
5,1254
6,1248
7,1340
8,1019
9,110
10,1248
11,1254
12,1974
13,188
14,1254
15,1904
16,1248
17,1254
18,667
