rank,°¡¼ö
95.6,1491
76.6,199
73.8,1240
70.6,997
59.2,1280
59.2,1924
58.4,642
48,696
47,80
47,1262
42.2,30
38.4,1002
35.2,2080
35,1545
32.4,1554
31,544
30.8,579
30.6,720
30.6,1104
28.8,1082
28.6,1527
28.2,2119
27.8,996
27.2,691
26.6,1472
26.2,2039
25.2,1352
24.8,3
24.2,81
24.2,1547
24,1662
23.8,1835
23.4,1234
23.2,2178
22.8,1817
22,1881
21.6,1366
21.6,1479
20.6,1544
20.6,1973
20.4,729
20.4,1784
20.2,1270
