<<<<<<< HEAD
1,3119165
2,3060888
3,3022119
4,3119845
5,515267
6,3112674
7,3004903
8,3121171
9,3117713
10,3118545
11,3115025
12,3119849
13,2648998
14,3093819
15,3119490
16,3007526
17,3119197
18,687625
19,3021978
20,3119848
21,2645049
22,3118544
23,3121174
24,3106680
25,3118546
26,3118547
27,2649188
28,3107524
29,3118543
30,3118492
31,3113809
32,3119847
33,3105601
34,3072482
35,2622386
36,3119850
37,3116096
38,3022121
39,2407510
40,3119433
41,3119846
42,3119843
43,3123229
44,3107625
45,3119844
46,3118129
47,3123234
48,3081587
49,2319164
1,3123229
2,3119165
3,3121171
4,3123234
5,3060888
6,3119845
7,3022119
8,3123233
9,3123231
10,3123232
11,3112674
12,515267
13,3121174
14,3123235
15,3004903
16,3123489
17,3123230
18,3126774
19,3124170
20,2648998
21,3117713
22,3122146
23,3093819
24,3119849
25,3115025
26,3021978
27,2645049
28,3007526
29,3119433
30,3123284
31,3118492
32,3119197
33,687625
34,3119490
35,3123951
36,2649188
37,3120470
38,3106680
39,3124351
40,3127595
41,3072482
42,2407510
43,2622386
44,3123225
45,3119848
46,2078722
47,3124083
48,3126277
49,3118545
1,3129012
2,3119165
3,3022119
4,3060888
5,3121171
6,3123229
7,3126774
8,3119845
9,3127595
10,3112674
11,3131585
12,3004903
13,515267
14,3123234
15,3124170
16,2648998
17,3121174
18,3124351
19,3093819
20,2645049
21,3123489
22,3128425
23,3131516
24,3123232
25,3021978
26,3123233
27,2649188
28,3117713
29,3122146
30,3130474
31,3128554
32,3126062
33,3118492
34,3123231
35,3126277
36,3127589
37,3007526
38,3119849
39,3125231
40,3129226
41,3072482
42,3120470
43,3130476
44,3119433
45,3115025
46,3123235
47,3106680
48,3127562
49,3130094
1,3129012
2,3119165
3,3131585
4,3134800
5,3022119
6,3060888
7,3133864
8,3121171
9,3127595
10,3123229
11,3131516
12,3119845
13,3112674
14,3132433
15,3126774
16,3124351
17,3004903
18,3121174
19,3134773
20,3124170
21,515267
22,3133518
23,3123234
24,3131447
25,3123489
26,2648998
27,2645049
28,2077439
29,3131547
30,3131463
31,3093819
32,3021978
33,3126062
34,2649188
35,3134403
36,3072482
37,3122146
38,3118492
39,2078722
40,3117713
41,3135145
42,3134740
43,3123232
44,3120470
45,3119433
46,3125231
47,2407510
48,3126277
49,3130474
50,3123233
1,3129012
2,3119165
3,3138166
4,3140816
5,3137222
6,3137115
7,3140999
8,3127595
9,3133864
10,3137740
11,3060888
12,3022119
13,3134800
14,3142103
15,3121171
16,3139740
17,3112674
18,3121174
19,3131585
20,3123229
21,3126774
22,3119845
23,3124170
24,3140501
25,3124351
26,3004903
27,3141880
28,3135145
29,3137130
30,3137739
31,2645049
32,3138898
33,507125
34,3140440
35,3139474
36,2077439
37,515267
38,3141129
39,3138788
40,2078722
41,3131516
42,3138164
43,3140893
44,2407510
45,2520588
46,3143764
47,3136498
48,3137118
49,3139735
50,3126062
1,3129012
2,3146244
3,3140999
4,3145260
5,3137222
6,3119165
7,3140816
8,3138166
9,3143764
10,3141880
11,3143224
12,3142103
13,3127595
14,3145231
15,3137740
16,3134800
17,3133864
18,3137115
19,3131585
20,3060888
21,3022119
22,3149391
23,3121174
24,507125
25,3135145
26,3112674
27,3121171
28,3149473
29,2407510
30,3124351
31,3139740
32,3124170
33,3004903
34,3138898
35,2077439
36,3139474
37,3148524
38,3142079
39,3145259
40,3147582
41,3145234
42,3149390
43,3123229
44,3137130
45,2520588
46,2407520
47,2645049
48,3147921
49,3145257
50,3142937
1,3153451
2,3151300
3,3153026
4,3146244
5,3129012
6,3143224
7,3149391
8,3151939
9,3151303
10,3140999
11,3137222
12,3138166
13,3119165
14,3149473
15,3151931
16,3154580
17,3153027
18,3140816
19,3153028
20,3142103
21,3145260
22,3127595
23,3134800
24,3151301
25,3153029
26,3141880
27,3137740
28,3060888
29,3135145
30,3143764
31,3133864
32,507125
33,3151302
34,3153030
35,3142079
36,3022119
37,3131585
38,3121174
39,3149390
40,3147582
41,3121171
42,3138898
43,3137115
44,3151304
45,2407510
46,3124170
47,3112674
48,3124351
49,3151170
50,2077439
1,3153451
2,3153452
3,3153453
4,3153455
5,3153454
6,3151300
7,3153456
8,3153026
9,3143224
10,3129012
11,3146244
12,3153450
13,3149391
14,3154580
15,3140999
16,3138166
17,3137222
18,3119165
19,3151939
20,3151931
21,3151303
22,3159662
23,3153028
24,3127595
25,3153027
26,3134800
27,3142103
28,3060888
29,3140816
30,3022119
31,3142079
32,3149473
33,3157154
34,507125
35,3153029
36,3137740
37,3135145
38,3121171
39,3153030
40,3141880
41,3157140
42,3145260
43,3131585
44,3138898
45,3133864
46,2077439
47,2407510
48,3158221
49,3121174
1,3153451
2,3153452
3,3153455
4,3153453
5,3143224
6,3151300
7,3153026
8,3153454
9,3129012
10,3153456
11,3149391
12,3146244
13,3160780
14,3140999
15,3154580
16,3153450
17,3119165
18,3138166
19,3159662
20,3137222
21,3151939
22,3160467
23,3153028
24,3060888
25,3151931
26,3142079
27,3022119
28,3151303
29,3140816
30,3127595
31,3163730
32,3142103
33,507125
34,2077439
35,3131585
36,3121171
37,3153027
38,3160963
39,3153029
40,3161065
41,3162123
42,3112674
43,3149473
44,3135145
45,2407510
46,3145260
47,3137740
48,3161512
49,3160788
50,3162125
1,3158320
2,3167968
3,3158319
4,3153451
5,3153455
6,3143224
7,3158322
8,3158321
9,3151300
10,3153452
11,3153026
12,3158323
13,3153453
14,3158324
15,3129012
16,3149391
17,3171786
18,3146244
19,3153454
20,3168881
21,3153456
22,3165360
23,3165034
24,3119165
25,3140999
26,3154580
27,3171396
28,3165779
29,3163730
30,3137222
31,3169354
32,3138166
33,3167436
34,3153450
35,3162123
36,3060888
37,3022119
38,3159662
39,3160780
40,3163676
41,507125
42,3167433
43,3160467
44,3142079
45,2077439
46,2520588
47,3151939
48,3169049
49,3153028
50,3168065
1,3172783
2,3158320
3,3153455
4,3153451
5,3167968
6,3171786
7,3143224
8,3171396
9,3175941
10,3158319
11,3151300
12,3153026
13,3153453
14,3153452
15,3174765
16,3176961
17,3172786
18,3174821
19,3176197
20,3129012
21,3149391
22,3146244
23,3172787
24,3153454
25,3172789
26,3172785
27,3172788
28,3172784
29,3158322
30,3168881
31,3172926
32,3119165
33,3172822
34,3167433
35,3173451
36,3158321
37,3169354
38,3158323
39,2520588
40,3168064
41,3176960
42,3153456
43,3140999
44,3158324
45,3172921
46,3174822
47,3169369
48,507125
49,3165034
50,3174911
1,3182429
2,3175941
3,3179193
4,3182444
5,3179092
6,3181133
7,3158320
8,3153455
9,3182445
10,3182430
11,3172783
12,3176961
13,3182433
14,3182432
15,3153451
16,3182431
17,3182443
18,3143224
19,3181127
20,3182446
21,3167968
22,3182434
23,3171786
24,3171396
25,3174765
26,3176197
27,3153026
28,3151300
29,3177663
30,3153453
31,3174821
32,3158319
33,3153452
34,3178873
35,3129012
36,3181129
37,3149391
38,3181128
39,3179189
40,3146244
41,25193
42,3176960
43,3167433
44,3174822
45,3179695
46,3119165
47,2520588
48,3172926
49,3153454
1,3182429
2,3182445
3,3182444
4,3182430
5,3182433
6,3182432
7,3175941
8,3182431
9,3182443
10,3185959
11,3182446
12,3182434
13,3181133
14,3153455
15,3158320
16,3172783
17,3153451
18,3179092
19,3143224
20,3181127
21,3187932
22,3179193
23,3176961
24,3167968
25,3185215
26,3153026
27,3186141
28,3171396
29,3183226
30,3151300
31,3186967
32,3177663
33,3183633
34,3149391
35,3185216
36,3171786
37,25193
38,3174765
39,3153453
40,3180094
41,3185211
42,3129012
43,3185212
44,3186145
45,3185963
46,3185919
47,3153452
48,3119165
49,3182981
1,3182429
2,3191199
3,3182445
4,3190398
5,3182444
6,3182433
7,3192857
8,3182430
9,3175941
10,3182432
11,3191200
12,3191197
13,3181133
14,3187932
15,3182431
16,3185959
17,3182443
18,3191198
19,3182434
20,3191203
21,3153455
22,3191196
23,3182446
24,3191201
25,3192209
26,3190524
27,3191202
28,3172783
29,3191204
30,3191205
31,3158320
32,3143224
33,3179092
34,3153451
35,3181127
36,3192713
37,3176961
38,3151300
39,3153026
40,3194066
41,3191591
42,3167968
43,3177663
44,3186967
45,3171396
46,3192042
47,3180094
48,3179193
1,3182429
2,3192857
3,3182445
4,3182444
5,3190398
6,3182433
7,3191199
8,3194981
9,3182430
10,3181133
11,3197147
12,3182432
13,3175941
14,3182431
15,3182443
16,3153455
17,3194979
18,3187932
19,3185959
20,3182434
21,3192209
22,3192859
23,3182446
24,3195930
25,3172783
26,3196976
27,3195031
28,3194066
29,3143224
30,3198135
31,3158320
32,3153451
33,3192042
34,3192858
35,3179092
36,3192713
37,3196073
38,3195931
39,3151300
40,3199140
41,3196020
42,3191200
43,3190524
44,3194818
45,3181127
46,3176961
47,3153026
48,3198107
49,3177663
1,3192857
2,3182429
3,3200872
4,3182445
5,3190398
6,3182444
7,3201424
8,3197147
9,3194981
10,3182433
11,3181133
12,3198135
13,3182430
14,3153455
15,3199140
16,3203607
17,3196976
18,3185959
19,3182432
20,3187932
21,3175941
22,3191199
23,3182431
24,3194979
25,3172783
26,3201425
27,3182434
28,3182443
29,3192859
30,3192209
31,3143224
32,3203892
33,3153451
34,3182446
35,3195930
36,3195031
37,3201423
38,3201426
39,3158320
40,3177663
41,3201430
42,3199455
43,3201429
44,3192858
45,3201978
46,3201427
47,3151300
48,3200343
49,3205755
50,3203606
1,3209596
2,3208022
3,3205755
4,3192857
5,3205694
6,3182429
7,3214696
8,3212674
9,3209742
10,2165144
11,3182445
12,3190398
13,3200872
14,3211379
15,3214697
16,3182444
17,3205756
18,3203892
19,3182433
20,3203607
21,3213495
22,3212673
23,3211222
24,3197147
25,3181133
26,3153455
27,3194981
28,3212037
29,3206062
30,3182430
31,3205757
32,3187932
33,3182432
34,3196976
35,3205731
36,3212672
37,3208053
38,3175941
39,3209648
40,3208224
41,3212034
42,3182434
43,3214698
44,3205985
45,3177663
46,3207001
47,3185959
48,3198135
49,3182431
50,3211976
1,3214696
2,3209596
3,3205755
4,3212674
5,3192857
6,3214697
7,3208022
8,3216555
9,3182429
10,3205694
11,3211379
12,3213495
13,3218593
14,3217782
15,3182445
16,3219940
17,3190398
18,3217783
19,3212673
20,2165144
21,3217361
22,3182444
23,3214698
24,3182433
25,3200872
26,3153455
27,3206062
28,3211976
29,3197147
30,3209742
31,3212037
32,3203892
33,3205756
34,3181133
35,3216592
36,3182430
37,3217362
38,3216556
39,3212034
40,3203607
41,3216557
42,3217784
43,3217785
44,3196976
45,3216559
46,3212672
47,3205757
48,3182432
49,3215942
1,3214696
2,3219940
3,3223373
4,3218593
5,3205755
6,3222761
7,3209596
8,3192857
9,3212674
10,3216555
11,3217782
12,3182429
13,3205694
14,3211379
15,3213495
16,3208022
17,3214697
18,3217783
19,3182445
20,3190398
21,3226061
22,3217361
23,3182444
24,3206062
25,3226065
26,3182433
27,3223434
28,3200872
29,3153455
30,2165144
31,3226064
32,3197147
33,3181133
34,3226068
35,3219971
36,3225075
37,3182430
38,3217362
39,3220992
40,3220672
41,3226062
42,3226067
43,3212673
44,3211976
45,3226066
46,3223129
47,3221693
48,3209742
1,3223373
2,3214696
3,3226065
4,3226895
5,3226061
6,3222761
7,3205755
8,3218593
9,3228264
10,3219940
11,3192857
12,3226064
13,3216555
14,3229658
15,3209596
16,3226068
17,3212674
18,3211379
19,3182429
20,3205694
21,3225075
22,3213495
23,3227452
24,3226062
25,3228394
26,3208022
27,3227297
28,3226067
29,3232056
30,3182445
31,3223434
32,3226066
33,3190398
34,3217782
35,3226070
36,3214697
37,3206062
38,3226069
39,3182444
40,3197147
41,3217361
42,3227475
43,3153455
44,3232055
45,3232065
46,3182433
47,3226391
48,3232062
1,3232056
2,3232065
3,3232055
4,3232445
5,3232062
6,3232061
7,3232493
8,3232057
9,3205755
10,3209596
11,3232067
12,3214696
13,3192857
14,3234091
15,3222761
16,3229658
17,3182429
18,3216555
19,3218593
20,3232492
21,3232066
22,3232083
23,3223373
24,3232489
25,3232446
26,3228394
27,3232491
28,3232068
29,3211379
30,3232490
31,3212674
32,3231945
33,3228264
34,3232064
35,3208022
36,3232494
37,3232497
38,3232498
39,3226065
40,3233743
41,3205694
42,3226061
43,3182445
44,3232496
45,3226895
46,3232447
47,3236620
48,3232495
49,3225075
1,3236620
2,3232056
3,3232065
4,3232445
5,3234091
6,3232493
7,3232055
8,3235596
9,3238673
10,3214696
11,3236623
12,3239987
13,3232061
14,3241031
15,3232062
16,3222761
17,3236621
18,3216555
19,3232067
20,3192857
21,3205755
22,3232057
23,3232492
24,3209596
25,3218593
26,3236413
27,3229658
28,3228394
29,3233743
30,3236524
31,3182429
32,3231945
33,3232491
34,3238717
35,3236622
36,3232490
37,3211379
38,3236624
39,3212674
40,3232446
41,3223373
42,3232489
43,3232496
44,3225075
45,3232494
46,3232498
47,3235019
48,3232497
49,3236625
1,3246201
2,3246198
3,3246200
4,3236620
5,3246199
6,3232056
7,3241031
8,3243558
9,3232065
10,3246202
11,3236503
12,3239987
13,3232445
14,3238673
15,3234091
16,3246265
17,3244826
18,3232055
19,3214696
20,3243555
21,3232493
22,3216555
23,3222761
24,3235596
25,3192857
26,3182429
27,3209596
28,3246261
29,3242567
30,3232062
31,3232061
32,3242223
33,3236621
34,3244955
35,3243556
36,3243557
37,3205755
38,3243560
39,3243559
40,3233743
41,3242688
42,3228394
43,3243561
44,3243563
45,3231945
46,3218593
47,3243565
48,3182445
49,3227297
50,3243564
1,3246201
2,3246198
3,3246200
4,3247232
5,3246199
6,3236503
7,3236620
8,3246202
9,3251040
10,3246265
11,3232056
12,3246889
13,3232065
14,3244826
15,3241031
16,3243558
17,3232445
18,3239987
19,3238673
20,3248739
21,3242567
22,3246261
23,3250259
24,3234091
25,3214696
26,3232055
27,3216555
28,3192857
29,3242619
30,3235596
31,3182429
32,3248742
33,3222761
34,3233743
35,3252531
36,3227297
37,3228394
38,3182445
39,3205755
40,3209596
41,3244955
42,3232493
43,3236621
44,3232061
45,3232062
46,3251041
47,3231945
48,3232940
49,3218593
50,3246263
1,3251040
2,3256420
3,3254275
4,3246201
5,3253563
6,3246198
7,3247232
8,3236503
9,3236620
10,3246200
11,3253561
12,3252531
13,3232056
14,3241031
15,3246265
16,3246199
17,3253565
18,3257007
19,3232065
20,3246889
21,3250259
22,3232940
23,3253380
24,3244826
25,3246202
26,3239987
27,3232445
28,3238673
29,3214696
30,3234091
31,3248739
32,3242567
33,3232055
34,3227297
35,3216555
36,3253568
37,3254276
38,3243558
39,3253567
40,3253560
41,3192857
42,3182429
43,3253562
44,3246261
45,3254277
46,3248742
47,3253570
48,3256879
49,3182445
50,3228394
1,3256420
2,3254275
3,3251040
4,3258288
5,3246201
6,3257007
7,3259758
8,3232940
9,3236503
10,3246198
11,3247232
12,3253563
13,3236620
14,3232056
15,3258289
16,3246265
17,3246200
18,3258934
19,3246889
20,3232065
21,3256879
22,3252531
23,3261158
24,3246199
25,3253380
26,3244826
27,3250259
28,3241031
29,3253561
30,3239987
31,3254277
32,3238673
33,3227297
34,3214696
35,3232445
36,3242567
37,3248739
38,3253565
39,3254276
40,3234091
41,3216555
42,3182429
43,3246202
44,3258503
45,3258923
46,3243558
47,3248742
48,3192857
49,3264116
50,3262321
1,3264116
2,3264115
3,3264118
4,3256420
5,3254275
6,3264114
7,3251040
8,3265191
9,3264117
10,3258288
11,3264156
12,3264119
13,3246201
14,3263086
15,3236503
16,3232940
17,3259758
18,3247232
19,3236620
20,3257007
21,3258289
22,3246198
23,3232056
24,3246889
25,3262321
26,3246265
27,3261158
28,3253563
29,3265192
30,3232065
31,3244826
32,3253380
33,3227297
34,3256879
35,3252531
36,3246200
37,3238673
38,3242567
39,3250259
40,3248739
41,3258934
42,3264696
43,3254277
44,3239987
45,3246199
46,3232445
47,3234091
48,3266468
49,3248742
50,3266891
1,3264116
2,3269765
3,3256420
4,3264115
5,3254275
6,3251040
7,3258288
8,3264118
9,3269426
10,3269781
11,3269744
12,3269770
13,3265191
14,3264114
15,3269461
16,3264117
17,3272355
18,3236503
19,3232940
20,3264119
21,3246201
22,3264156
23,3269766
24,3263086
25,3236620
26,3247232
27,3269767
28,3271095
29,3246198
30,3269783
31,3246889
32,3258289
33,3269768
34,3269475
35,3232056
36,3257007
37,3269788
38,3269769
39,3269771
40,3246265
41,3262321
42,3227297
43,3266468
44,3259758
45,3269789
46,3248739
47,3244826
48,3238673
49,3253380
1,3264116
2,3269765
3,3264115
4,3264118
5,3251040
6,3256420
7,3272355
8,3269781
9,3274289
10,3258288
11,3278034
12,3254275
13,3232940
14,3278947
15,3264114
16,3264117
17,3246201
18,3236503
19,3274445
20,3265191
21,3264156
22,3264119
23,3278827
24,3272356
25,3269426
26,3269744
27,3270847
28,3279331
29,3275649
30,3269766
31,3246265
32,3246198
33,3269770
34,3236620
35,3263086
36,3277615
37,3247232
38,3232056
39,3269783
40,3271095
41,3254422
42,3248739
43,3262321
44,3279692
45,3280765
46,3279328
47,3248742
48,3281609
49,3280000
50,3279330
1,3264116
2,3269765
3,3285497
4,3264115
5,3264118
6,3284440
7,3251040
8,3269781
9,3258288
10,3256420
11,3272355
12,3284443
13,3274289
14,3232940
15,3274445
16,3254275
17,3236503
18,3278034
19,3246201
20,3264114
21,3264156
22,3264117
23,3264119
24,3265191
