102,5,10cm,이승호,윤일상,
103,6,정준하,김민지,윤일상,윤일상
104,7,원더걸스,Crystal Nicole Johnson,Crystal Nicole Johnson,
105,8,다이나믹 듀오(Dynamic Duo),다이나믹 듀오,개코,philtre
106,9,써니힐(Sunny Hill),김이나,이민수,이민수
107,10,다비치,k-Smith,조영수,조영수
108,11,효린,김창기,김창기,SWEETCH
109,12,티아라(T-ara),안영민,조영수,조영수
110,13,리쌍(LeeSSang),개리,길,길
111,14,유재석,노홍철,노홍철,신사동 호랭이
112,15,엠블랙(MBLAQ),이단옆차기,이단옆차기,이단옆차기
113,16,원더걸스,박진영,박진영,
114,17,틴 탑(Teen Top),용감한 형제,용감한 형제,용감한 형제
115,18,해오라(Heora),한상원,한상원,한상원
116,19,허각,Rado,Rado,Rado
117,20,노을,최규성,최규성,최규성
118,21,원티드(WANTED),최갑원,전상환,PJ
119,22,환희,환희,멜로딘 준영,멜로딘 준영
120,23,제시카,김건우,김건우,김건우
121,24,하하,원태연,Minuki,스컬
122,25,에이핑크(Apink),신사동 호랭이,신사동 호랭이,신사동 호랭이
123,26,정형돈,윤종신,윤종신,원미솔
124,27,울랄라세션,이승철,윤명선,
125,28,이현,방시혁,방시혁,Miss Kay
126,29,살찐 고양이,강지원,강지원,강지원
127,30,SUPER JUNIOR-K.R.Y. (슈퍼주니어-K.R.Y),이승호,윤일상,
128,31,Sophia Pae,린,이현승,
129,32,제이세라(J-Cera),,,
130,33,코요태(KYT),용감한 형제,용감한 형제,용감한 형제
131,34,길,김민지,윤일상,길
132,35,레인보우 픽시(Pixie),김혜성,A.I.P,A.I.P
133,36,빅마마 소울,Brian Kim,서재하,서재하
134,37,일렉트로보이즈(Electroboyz),용감한 형제,용감한 형제,
135,38,다이나믹 듀오(Dynamic Duo),다이나믹 듀오,프라이머리,프라이머리
136,39,나인뮤지스,송수윤,한재호,한재호
137,40,클래지(Clazzi),솔튼페이퍼(SALTNPAPER),,
138,41,노을,강우경,오성훈,오성훈
139,42,NS 윤지,이단옆차기,이단옆차기,이단옆차기
140,43,"베이비 소울(Baby Soul), 유지아",안영민,안영민,
141,44,Jason Mraz,,,
142,45,지아(Zia),최갑원,최갑원,김진훈
143,46,박명수,개리,박상혁,돈스파이크(Don Spike)
144,47,오렌지캬라멜(Orange Caramel),안영민,조영수,김태현
145,48,장기하와 얼굴들,,,
146,49,김지수,곰돌군,곰돌군,곰돌군
147,1,린(LYn),김박사,김박사,김박사
148,2,티아라(T-ara),신사동 호랭이,신사동 호랭이,신사동 호랭이
149,3,효린,김창기,김창기,SWEETCH
150,4,비스트(Beast),Rado,Rado,Rado
151,5,아이유(IU),김이나,이민수,이민수
152,6,트러블메이커(Trouble Maker),Rado,신사동 호랭이,신사동 호랭이
153,7,휘성,휘성(Realslow),휘성(Realslow),문하
154,8,10cm,이승호,윤일상,
155,9,써니힐(Sunny Hill),김이나,이민수,이민수
156,10,정준하,김민지,윤일상,윤일상
157,11,제시카,김건우,김건우,김건우
158,12,다이나믹 듀오(Dynamic Duo),다이나믹 듀오,개코,philtre
159,13,다비치,k-Smith,조영수,조영수
160,14,영준(브라운 아이드 소울),,,
161,15,원더걸스,Crystal Nicole Johnson,Crystal Nicole Johnson,
162,16,해오라(Heora),한상원,한상원,한상원
163,17,티아라(T-ara),안영민,조영수,조영수
164,18,틴 탑(Teen Top),용감한 형제,용감한 형제,용감한 형제
165,19,스컬(SKULL),스컬,마스터키(MasterKey),마스터키(MasterKey)
166,20,엠블랙(MBLAQ),이단옆차기,이단옆차기,이단옆차기
167,21,리쌍(LeeSSang),개리,길,길
168,22,원티드(WANTED),최갑원,PJ,PJ
169,23,유재석,노홍철,노홍철,신사동 호랭이
170,24,송지은,,,
171,25,원티드(WANTED),최갑원,전상환,PJ
172,26,원더걸스,박진영,박진영,
173,27,노을,최규성,최규성,최규성
174,28,Pixie Lott,Phil Thornalley,,
175,29,태사비애,,,
176,30,M시그널,박경진,류재현,류재현
177,31,허각,Rado,Rado,Rado
178,32,에이핑크(Apink),신사동 호랭이,신사동 호랭이,신사동 호랭이
179,33,제이세라(J-Cera),,,
180,34,울랄라세션,이승철,윤명선,
181,35,거미,최은하,윤일상,
182,36,노을,강우경,오성훈,오성훈
183,37,살찐 고양이,강지원,강지원,강지원
184,38,코요태(KYT),용감한 형제,용감한 형제,용감한 형제
185,39,Beyonce,Ryan Tedder,Ryan Tedder,
186,40,이현,방시혁,방시혁,Miss Kay
187,,,,,
188,42,브라이언,타이거JK,Jeff Hoeppner,Jeff Hoeppner
189,43,하하,원태연,Minuki,스컬
190,44,NS 윤지,이단옆차기,이단옆차기,이단옆차기
191,45,Jason Mraz,,,
192,46,나인뮤지스,송수윤,한재호,한재호
193,47,Adele,,,
194,48,레인보우 픽시(Pixie),김혜성,A.I.P,A.I.P
195,49,SUPER JUNIOR-K.R.Y. (슈퍼주니어-K.R.Y),이승호,윤일상,
196,50,정형돈,윤종신,윤종신,원미솔
197,1,린(LYn),김박사,김박사,김박사
198,2,티아라(T-ara),신사동 호랭이,신사동 호랭이,신사동 호랭이
199,3,SE7EN,,,
0,4,나윤권,김세진,김세진,
1,5,FTISLAND,한성호,김도훈(RBW),이상호
2,6,케이윌(K.will),민연재,김도훈(RBW),김도훈(RBW)
3,7,다비치,전해성,전해성,전해성
4,8,써니힐(Sunny Hill),김이나,이민수,이민수
5,9,휘성,휘성(Realslow),휘성(Realslow),문하
6,10,미료,,,
7,11,트러블메이커(Trouble Maker),Rado,신사동 호랭이,신사동 호랭이
8,12,아이유(IU),김이나,이민수,이민수
9,13,비스트(Beast),Rado,Rado,Rado
10,14,장재인,장재인,강현민,
11,15,10cm,이승호,윤일상,
12,16,비스트(Beast),용준형,용준형,용준형
